user_id,number_transactions_sports,number_of_days_sports,number_of_geo_hash_sports
-3209190033933702,2,2,1
-19345259052903703773,2,2,1
-16697703722193704118,3,3,1
-18467511221313702855,2,2,1
24285282970314370476,1,1,1
-20012449607583702771,2,2,1
18235925259993370452,1,1,1
-23422889462523704169,2,2,1
5183760435528370482,2,2,1
-7701069596133703551,2,2,1
1478181026400337029,2,2,1
27437838761913370263,2,2,1
-16722890160783704526,2,2,1
17793043305186370407,1,1,1
-20418533488263704913,2,2,1
24846704853465370260,1,1,1
8643682050261370353,1,1,1
9037608315144370254,1,1,1
-19080086383203702831,2,2,1
27031785114843370404,2,2,1
-21233099700603704454,1,1,1
-7319181754983703299,2,2,1
14007782180163370437,2,2,1
9971228828241370311,1,1,1
5393552005059370467,1,1,1
-21484430985123704634,2,2,1
-24220205363883704847,1,1,1
-21146570064483702783,2,2,1
22491401142510370344,1,1,1
-8939332968003703353,2,2,1
-14801271292773703011,2,2,1
20230213172316370437,1,1,1
19810940259807370389,2,2,1
-11926614342123704820,2,2,1
-25398069196593704511,2,2,1
-22615287470103702174,1,1,1
25176508831821370443,2,2,1
1892637126331837044,2,2,1
-16389130690083704910,1,1,1
18145880980236370437,2,2,1
-21679118125473704352,1,1,1
290421379234293702,2,2,1
-2212210569186370323,1,1,1
8222301379590370440,2,2,1
-315846330765370440,2,2,1
186087361533153702,2,2,1
12534130839015370449,2,2,1
-23953217478363703239,1,1,1
12687562396671370248,1,1,1
13660154650944370431,2,2,1
-10749994932873702372,1,1,1
-19385777122413703332,2,2,1
18829293192315370266,2,2,1
10926896375268370395,1,1,1
-15124435545603703527,2,2,1
4078064728053370239,2,2,1
-25335209949003703170,2,2,1
17386425289911370347,2,2,1
-21117165878823702591,1,1,1
21142147532028370254,1,1,1
-19678773322473704733,1,1,1
-5321215730763703683,2,2,1
24931541534148370446,3,3,1
11569829679480370437,2,2,1
-8633519053293703083,2,2,1
-10706142618003703791,2,1,1
20044731965601370242,2,2,1
2794499712934537041,3,3,1
16743191094936370221,1,1,1
-19260596672973703623,2,2,1
-21564130446723704517,1,1,1
-10181384463483702537,2,2,1
5183330696967370491,2,2,1
-2088881885679370353,1,1,1
-6394139112063702888,3,3,1
-7235989684053704262,2,2,1
-22431547238343702576,3,3,1
19485968316324370215,2,2,1
-6705734179443702831,2,2,1
5506075537890370482,1,1,1
4604659898724370443,1,1,1
-4287108370023703089,1,1,1
13937040143250370329,2,2,1
-10864413499233702066,2,2,1
-20849304984183704283,1,1,1
17868152473650370485,1,1,1
5877837194439370452,1,1,1
17541342812370370431,2,2,1
8853437869983370383,1,1,1
-9007872136773702807,1,1,1
-5901564807483703728,1,1,1
-23143488211983702600,1,1,1
-19061291770593703530,1,1,1
-23034055818813702543,2,2,1
7552837342971370254,1,1,1
-6520878790893702390,1,1,1
24427976951712370200,2,2,1
13814668131777370431,2,2,1
-4106316991623703611,2,2,1
-17769407859873703749,2,2,1
6460663180950370245,3,3,1
19153276918398370215,2,2,1
13375173099498370281,2,2,1
-22917967996113704496,2,2,1
-25793849154603704067,2,2,1
-13435149398043703197,2,2,1
21911277040563370245,1,1,1
21624327364362370476,1,1,1
-2978144620791370491,1,1,1
-20375845999023702159,1,1,1
13594584616533370392,4,4,1
16108190819928370485,2,2,1
22126456668213370470,2,2,1
1137508185414937023,2,2,1
-13783362388683704190,2,2,1
11476644360438370266,2,2,1
-16309757384343704127,2,1,1
-11463291743733702057,2,2,1
-203922509077537041,1,1,1
16246881051129370407,1,1,1
-2543219597904370221,1,1,1
25044793195020370329,1,1,1
-5411795953533702525,1,1,1
-6184964057013702291,1,1,1
15048458102319370284,2,2,1
13438151052501370356,2,2,1
13470624056937370404,1,1,1
-18049596569373704448,2,2,1
19336407418821370242,1,1,1
4091402615463370353,5,5,1
14474613028836370401,1,1,1
18501540515592370410,1,1,1
-9906361101483704640,2,2,1
23847600005667370485,1,1,1
-34340025461437023,2,2,1
6860720872797370263,2,2,1
13179910936302370278,1,1,1
-4228981044033702084,2,2,1
26189350086963370245,2,2,1
16920575496120370218,1,1,1
-27498516063513704121,1,1,1
-17022021675513702150,1,1,1
19770707177886370305,1,1,1
7985395503657370311,2,2,1
-7915816833903704325,1,1,1
-22613186594163704232,1,1,1
-1446490499604370338,1,1,1
13639985275272370491,1,1,1
-16660669164213704679,2,2,1
-23635086257913704754,2,2,1
17602916851602370353,2,2,1
8832015705927370371,2,2,1
-26810675651253703131,2,2,1
18111965148408370362,1,1,1
-11946149674173702189,1,1,1
19147527927072370485,2,2,1
24487021944906370254,2,2,1
-1368056344239370266,1,1,1
13810062216348370335,1,1,1
-7964358790053702822,2,2,1
-17950459403613702789,2,2,1
25404896941041370257,2,2,1
-11588490069753703656,1,1,1
10242088969221370386,2,2,1
-20973991949703704937,1,1,1
-19928767539873704496,2,2,1
1605865578408637023,2,2,1
22963487375838370248,2,2,1
13125088434921370443,1,1,1
-1154333201115370311,1,1,1
-15734273817933703965,2,2,1
16166907640407370350,2,2,1
-15043029447303704553,2,2,1
26728007036658370371,4,4,1
-17023947070863703107,2,2,1
-501825360015370458,2,2,1
-1527317507586370443,2,2,1
-575634294012370239,3,3,1
-18631565400873702672,2,2,1
-25831853033613704346,1,1,1
-12430224855993704253,1,1,1
6755040698424370407,3,3,1
2326457854272637026,1,1,1
-18045861980163702759,1,1,1
4718359887720370497,3,3,1
21246641269251370245,1,1,1
5416367351877370335,2,2,1
-22936020144153703419,2,2,1
9578871565542370335,2,2,1
6840260685105370248,2,2,1
-15865362872613702492,1,1,1
6706276130643370278,1,1,1
26678620851957370266,1,1,1
4812393561180370206,2,2,1
-11686099745823703590,2,2,1
-19096356316443703572,2,2,1
-4114325476113702999,1,1,1
10176999885861370371,2,2,1
-11422664119053702720,2,2,1
-25437941645553702249,4,4,1
6653271945633370467,2,2,1
16076861473137370254,2,2,1
-24440148849783703680,3,3,1
-5506642709193703140,3,3,1
18094734409374370311,1,1,1
5173380328821370323,3,3,1
1861318115744737029,2,2,1
1919117963294137023,1,1,1
-16433507097633704628,2,2,1
-7040828959773704829,2,2,1
18476590591770370326,1,1,1
-7318919195463702414,1,1,1
1372897865242237047,1,1,1
-19779856318773702222,1,1,1
-24389808003243702012,1,1,1
-10514571849003704607,1,1,1
7990236579864370437,2,2,1
-24168215475273702756,1,1,1
-18534198153483703260,2,2,1
25003574973021370383,1,1,1
14199605807601370248,1,1,1
-6864932163213704409,1,1,1
8267150289201370494,1,1,1
22891974931884370395,1,1,1
21892867275177370296,2,2,1
-23913162602583702666,1,1,1
-24112794344523702102,3,3,1
-14638755785163703881,1,1,1
-16539004350153704400,2,2,1
20322443611101370275,2,2,1
-8920399034013703971,3,3,1
-19502174654583704070,3,3,1
18359682345942370416,1,1,1
-2867206971579370440,2,2,1
-22324703673603702303,2,2,1
11516654355804370449,1,1,1
-13821691355793704295,1,1,1
-10925263101663703887,2,2,1
7894608913506370359,2,2,1
-17610517373673703317,2,2,1
7398660322320370371,1,1,1
10534737970794370299,1,1,1
-8884707646503704088,2,2,1
-23867696428863704541,1,1,1
-4147912382943703212,1,1,1
24499799039955370434,3,3,1
12586013330121370401,2,2,1
6899086981449370428,1,1,1
-4911670486773702879,2,2,1
-23057967839463702678,2,2,1
13263872721900370242,3,3,1
-17188402226733704799,2,2,1
1580703345739837041,1,1,1
18139063878501370419,2,2,1
12923760062823370428,1,1,1
-24292693884843704814,1,1,1
-17421006444663702627,2,2,1
-1047929313489370245,2,2,1
-8766864542643703353,2,2,1
12259869422802370227,2,2,1
-7762279811193703119,2,2,1
-23835492546843704388,1,1,1
12174192644283370368,2,2,1
-18769527402333703794,2,2,1
18926181023373370404,2,2,1
-11987203219683702900,1,1,1
-6508919797803703581,2,2,1
-24606867407043703242,2,2,1
9910065083613370440,1,1,1
-732746742207370434,3,3,1
24850691317728370389,1,1,1
12471676451085370275,1,1,1
22643853151047370395,3,3,1
12055270546617370215,2,2,1
26839648285659370431,2,2,1
12905521014363370428,2,2,1
11309235073269370227,1,1,1
5572146122376370251,1,1,1
23933842835166370305,2,2,1
-15195782791263703206,2,2,1
13708202838723370329,2,2,1
3732314017119370203,2,2,1
-14958723884463703101,2,2,1
21460664685516370323,1,1,1
21868593372090370425,2,2,1
33409795937493702,2,2,1
-9535559905203704628,2,2,1
12534399581088370284,1,1,1
-11430441617583704028,2,2,1
-5301876800313702363,2,2,1
-12364810843563703479,1,1,1
26734687928058370302,2,2,1
9288657787155370479,3,3,1
15405199641933370494,1,1,1
19304177341341370314,2,2,1
27387665601102370386,2,2,1
136646667527583702,2,2,1
17375938869954370398,2,2,1
463426931918137044,1,1,1
18526100168901370464,2,2,1
-25587404055273702693,2,2,1
23683316464815370374,2,2,1
-27478534245483704589,2,2,1
-16851308729043702477,2,2,1
17162560240329370293,3,3,1
19013684903817370257,2,2,1
-15860463811173704397,2,2,1
-27036264166083704616,1,1,1
9655488080472370353,2,2,1
-26581080278493702417,1,1,1
-20530359276633703191,3,3,1
9411884597493370356,1,1,1
-18426661461663704973,3,3,1
4718764223175370350,1,1,1
-24278926977363704211,1,1,1
7514850257277370416,2,2,1
-25214002426233702762,2,2,1
-21749099423163704106,3,3,1
-21626405251083702588,2,2,1
22091204657985370461,2,2,1
7669181292333370236,1,1,1
2650034035351537047,2,2,1
20159805821364370242,2,2,1
12959006913636370464,1,1,1
14215221244845370272,3,3,1
-3823392013293702441,1,1,1
15284452515729370218,1,1,1
-421891501140370479,1,1,1
-13634600734263703116,2,2,1
10535318680245370215,2,2,1
-14827169914263702228,2,2,1
-10642145208423704691,2,2,1
-5690515258563702924,2,2,1
-10894770634923702657,2,2,1
-1317358548732370374,1,1,1
-5385064429023702657,2,2,1
-27221291913183704385,2,2,1
10431068883327370200,2,2,1
-23855231673573704130,1,1,1
-16212916677303704157,1,1,1
-23818527315723702669,1,1,1
14554496978397370209,1,1,1
-14454933181833702261,1,1,1
-20208547608093702711,2,2,1
-8931833186913702573,1,1,1
-2199342653907370467,3,3,1
-1635831956526370275,2,2,1
-23202578762133703932,1,1,1
-22349704598313703008,1,1,1
5494370927619370422,1,1,1
14128768035873370392,2,2,1
-22632915024783702159,2,2,1
2969570164335937041,2,2,1
-20033562122553704643,2,2,1
-11343608987583704949,1,1,1
-19441600893663703077,2,2,1
-49560931480537032,1,1,1
-26930298949893704862,3,3,1
-16107951205983702021,1,1,1
-23487241680903703314,1,1,1
-588776136879370356,2,2,1
-23276345809443702990,3,3,1
3788054173830370467,1,1,1
-22149372800853703347,1,1,1
-20893353059823703683,1,1,1
16456462247493370395,2,2,1
18808076284500370458,2,2,1
-5864384459043704097,2,2,1
-10976845930893702984,1,1,1
-1934039085885370329,1,1,1
-8961594083673703401,2,2,1
12090523594446370377,2,2,1
13803110773620370296,1,1,1
-9827034429753703452,1,1,1
23011347262911370347,2,2,1
15382741715217370308,1,1,1
-6391040829783703275,2,2,1
-17341289544063704001,2,2,1
-3975591947403702378,1,1,1
27362818985316370413,2,2,1
777946889782237029,2,2,1
2490088753089037035,2,2,1
-16593466545003702741,1,1,1
14827144848531370494,2,2,1
-7934049517773702372,1,1,1
10181886842376370215,2,2,1
-4116593692743704955,1,1,1
-27015796534203704676,2,2,1
5580050163366370305,2,2,1
-3166999915773704646,1,1,1
21907835416899370335,2,2,1
-21140632652313703620,1,1,1
22213422219378370389,2,2,1
-8928737488773704004,2,2,1
10518977475174370257,1,1,1
-23153515664703703356,1,1,1
10765704256662370308,2,2,1
1633696636302037026,2,2,1
25451445151737370248,2,2,1
10092230753031370200,1,1,1
-3683818884813704637,2,2,1
10043905837317370278,1,1,1
-4670843561733702789,2,2,1
21929449055802370341,1,1,1
11388248074209370275,1,1,1
4976239213092370224,1,1,1
21790551983751370473,2,2,1
19044843588795370293,2,2,1
13865770561116370215,1,1,1
1688392973121637023,2,2,1
-14313635887053702378,2,2,1
18643882228332370326,2,2,1
-21129986452263703749,2,2,1
2214538960393537047,2,2,1
21791028364524370227,1,1,1
-14403438318093702240,1,1,1
24279053707764370278,2,2,1
-26964255843393704073,2,2,1
23032684928733370380,1,1,1
-17188934301603703575,2,1,1
12400780480158370224,2,2,1
14790028816869370428,1,1,1
-19831562386233703701,2,2,1
21328798509207370356,2,2,1
11511960356214370239,2,2,1
5406675599796370290,2,2,1
-4015187223393704454,2,2,1
-21490853247903704637,2,2,1
24773977032579370398,2,2,1
-23785350730353702699,2,2,1
-8440953987363702684,1,1,1
-26918117937753704277,2,2,1
-19903406396103702876,2,2,1
-20597475384483702219,2,2,1
447454325366137023,2,2,1
12343286113473370485,1,1,1
-27510628109193703071,3,3,1
-26672338625733704115,2,2,1
-15137073440523704175,2,2,1
14189952525210370314,2,2,1
11991820118040370452,2,2,1
17081616097092370269,1,1,1
620062662973537041,2,2,1
15807448496184370446,1,1,1
-9568362015513703917,2,2,1
-1017229037958370455,1,1,1
23658052856817370425,2,2,1
-478143127395370203,1,1,1
17958796940502370476,1,1,1
9592563354270370296,2,2,1
20703652029342370494,2,2,1
-951686543562370296,2,2,1
13100854332957370290,2,2,1
18291110619072370206,3,3,1
26682236280969370461,2,2,1
-25301836868463704415,1,1,1
-14784788954823704232,2,2,1
26385837633870370209,1,1,1
-24722574805953702582,2,2,1
4700352935004370353,1,1,1
9391841889618370458,1,1,1
-6651938239143704481,2,2,1
-17759573778183704715,1,1,1
-13644944593683704880,2,2,1
-16532743451643702669,3,3,1
-8664086278653703485,1,1,1
-7010872179903703461,1,1,1
25982640978246370329,1,1,1
7559051118792370398,1,1,1
-16533310271493703497,3,3,1
-25152012090183704265,1,1,1
-16086956203923702969,1,1,1
-16959158119143703221,1,1,1
23529495363561370362,1,1,1
-4867053775143702564,1,1,1
-23792854117833703920,2,2,1
12656973000663370347,1,1,1
-16289207601153703296,1,1,1
-19511753017173703434,2,2,1
1648598976993037041,2,2,1
-16446947201943704850,1,1,1
4189615609911370308,1,1,1
-3775535918913704445,2,2,1
4494360388944370479,2,2,1
21497021398449370347,1,1,1
12422642906046370242,2,2,1
-17439551451723702597,2,2,1
-24841050386943703536,1,1,1
-18674543934573702441,1,1,1
21413804041503370368,2,2,1
15184874124411370440,2,2,1
-12093804010413704298,2,2,1
20093601775050370200,2,2,1
-7540164735453703359,2,2,1
-18078313190793704643,1,1,1
-2481073363041370200,2,2,1
13830123999543370377,2,2,1
-23551880380503704865,2,2,1
12005056137228370494,1,1,1
-7327048194153702939,2,2,1
-19308137299533703062,1,1,1
-14500890378693703644,1,1,1
-7773105590463702897,2,2,1
3331798235370370284,2,2,1
-22010789573673703881,2,2,1
11645704038741370416,2,2,1
3498069759309370317,1,1,1
12130001449191370251,2,2,1
-25892794905543704838,2,2,1
-788228694168370332,2,2,1
22291911597585370398,2,2,1
10885765787271370353,1,1,1
-18208945399773704649,1,1,1
5429489159775370374,2,2,1
3907063396116370290,2,2,1
-21223513783443704718,1,1,1
-20257177495683704952,1,1,1
-4446118323723704250,1,1,1
-26947839711243704442,1,1,1
-877245103509370239,1,1,1
-14456120743143703758,2,2,1
26637515291208370467,2,2,1
-13342075515723703284,2,2,1
27606026888313370416,2,2,1
-14266160779053704586,1,1,1
-26732395840833702570,1,1,1
3755542624383370215,1,1,1
6237169264098370473,2,2,1
-14004600322413704925,2,2,1
-13296573924033704805,2,2,1
3645030928035370230,2,2,1
14183327421717370482,2,2,1
-20511492305493702051,2,2,1
-26884276280013702732,2,2,1
27328352857071370395,2,2,1
18210171935631370380,1,1,1
17100713954100370221,1,1,1
6696357791682370479,1,1,1
-14634235005003702288,2,2,1
-260623572729937032,1,1,1
9071923862310370440,2,2,1
6329353756014370203,1,1,1
-3797959935933703872,2,2,1
24370802962857370467,2,2,1
-7526718353913703062,2,2,1
-980227360143370329,1,1,1
-9281583872523702786,2,2,1
-12373299473283702366,1,1,1
23907524634378370413,2,2,1
-21355751242353704742,3,3,1
24840094592619370404,2,2,1
-12197263952343703731,1,1,1
-17771736784383704799,2,2,1
26922632424180370299,1,1,1
-8191691293233703890,2,2,1
-23640570248823702822,1,1,1
4370522967813370326,2,2,1
-7119574104393702108,2,2,1
-10324122861063704052,1,1,1
-23897854309443702969,1,1,1
24871217832849370407,2,2,1
-26465647393743704982,2,2,1
4044052244892370224,1,1,1
6509470317456370461,2,2,1
5314837559388370311,1,1,1
-5409709626363703770,1,1,1
11791809104475370338,1,1,1
4258056642783370425,2,2,1
23167139960055370254,2,2,1
-18955807807323704271,1,1,1
-25167932572233702024,1,1,1
-27240990092673703752,2,2,1
-20645076140823703182,1,1,1
1342522935802237023,2,2,1
27512925811125370473,2,2,1
5378871096909370287,1,1,1
9535106180379370236,1,1,1
-25229652555063703527,2,2,1
13349747964783370263,2,2,1
19487064418884370275,2,2,1
-6117085666593703026,2,2,1
-20509029329163702876,1,1,1
-24704832265323702921,2,2,1
18935674936425370404,2,2,1
18298662503862370356,1,1,1
-23048390378193703047,2,2,1
14039958754293370359,2,2,1
24749554780227370350,1,1,1
-19221907968933702483,2,2,1
15691383768282370293,1,1,1
6260508868848370401,2,2,1
24596834723136370395,1,1,1
1308175153234837038,3,3,1
-14493514620993704931,2,2,1
-24067525622253702033,1,1,1
-7834221200883703002,1,1,1
-6404548948893704619,2,2,1
-24857054273403702822,1,1,1
-25352680497153704280,2,2,1
-912821986710370242,2,2,1
-27238505042763703797,2,2,1
11222153036505370263,1,1,1
20497941961794370389,2,2,1
-20913519111003704109,1,1,1
17733667891923370212,1,1,1
12755047501482370266,1,1,1
17947320415479370305,2,2,1
14208449590575370317,2,2,1
21961554086658370305,1,1,1
-11377455464463702291,1,1,1
2538617965960537038,3,3,1
17063476293180370479,1,1,1
5911092945357370266,1,1,1
23099730406830370392,2,2,1
5549650542207370488,1,1,1
-10951724312103704754,1,1,1
15425049227142370452,2,2,1
-18323261716473704364,1,1,1
5542225923603370203,2,2,1
6893179718577370314,2,2,1
23041889906001370224,2,2,1
-1319497899429370392,2,2,1
-25534619922123702753,1,1,1
-9820174510563703089,1,1,1
-24899835763743702837,1,1,1
475140495094237041,1,1,1
23145946434030370473,1,1,1
-5975829028083702720,2,2,1
-14059177535763702294,1,1,1
-4039865781033703605,2,2,1
17602263322074370413,2,2,1
-26245663149003704928,1,1,1
25546147543917370365,1,1,1
1721645016185137047,2,2,1
-26135420589963703122,3,3,1
12058101649710370416,1,1,1
-12876636172383704733,1,1,1
7173181573032370326,1,1,1
-8008546292583702342,1,1,1
26774443643466370497,1,1,1
25451659129665370200,2,2,1
15864621240378370293,3,3,1
-2054530747584370389,3,3,1
-14359488855543704253,3,3,1
13755679763985370362,2,2,1
26530026352347370434,1,1,1
8427424979067370371,1,1,1
15160977793767370209,1,1,1
-6395175025023704448,1,1,1
4084803500031370239,2,2,1
23087458058175370254,2,2,1
506154758999737044,2,2,1
14790917342025370251,1,1,1
-6921473544843703263,1,1,1
15275011395579370230,2,2,1
-14250071537703703434,2,2,1
-17194550191173703236,2,2,1
7369600042707370329,1,1,1
21074371151844370404,1,1,1
-16237277300583703362,2,2,1
-20790575604573703035,2,2,1
-17654996122743702243,1,1,1
1441608925650637044,1,1,1
-9273802832163702729,1,1,1
-27419860974873703212,1,1,1
-10284895002933704085,1,1,1
1408500052118137038,1,1,1
-12791056601013704514,2,2,1
-7912560787173704118,2,2,1
-18884254837143704730,1,1,1
-6626332977633703269,2,2,1
-4552882163403704667,2,2,1
-460216000791370377,2,2,1
-11310679677003703602,1,1,1
-17287677559503703437,1,1,1
22554187830693370479,1,1,1
-18846815700423703860,2,2,1
-15472321924833703497,2,2,1
-160750557912337035,2,2,1
-979014930381370227,2,2,1
-23713244744553702525,1,1,1
-26642233612233704907,1,1,1
-17721594056883702171,1,1,1
-10346706667233703485,1,1,1
18998114589216370287,1,1,1
-22083215590983704946,1,1,1
20325645176871370206,1,1,1
-8237925167613703401,1,1,1
10249310077500370242,2,2,1
10608247744617370434,2,2,1
550929684602137041,2,2,1
6792448436715370338,2,2,1
331203367718737041,1,1,1
15872921378625370281,2,2,1
11569549360578370446,2,2,1
-4032867235143703923,2,2,1
-16770876275733703779,2,2,1
-16628171276253704850,2,2,1
-26681511190653704247,2,2,1
4299654876069370287,2,2,1
-20865866077953703782,2,2,1
-9282090112263704403,2,2,1
-4222309640283703704,2,2,1
1914212037590137035,1,1,1
-6119200312773703947,1,1,1
-4642246777083703665,1,1,1
-19368828782283702867,2,2,1
23550447053208370365,2,2,1
-22136377509033702549,1,1,1
-13749420713553702270,1,1,1
4827118722456370467,1,1,1
2196426809535037038,2,2,1
21289983932958370380,2,2,1
7887768118569370479,2,2,1
2544833334644437023,1,1,1
16507978600995370494,1,1,1
20270961978489370347,2,2,1
-16760962151313704259,2,2,1
-17855359516383702075,2,2,1
-16690950552153703392,2,2,1
-6129380923233702282,3,3,1
-9695797406673703614,4,4,1
22713301209402370344,2,2,1
-8828308985523702030,1,1,1
3451021188366370395,1,1,1
-10598169055713703515,1,1,1
22413223369977370230,1,1,1
-24618153514803704373,1,1,1
-14495164660593702414,2,2,1
-9347220299403702366,1,1,1
-19680492775923704169,2,2,1
25066130946897370299,1,1,1
-19784155344963702072,1,1,1
-4710926587953702669,1,1,1
25963879877436370431,1,1,1
-13437107738523703188,1,1,1
3566459103813370443,2,2,1
16324919933055370434,2,2,1
8711791163388370470,2,2,1
5578907906454370281,2,2,1
22846230925152370431,4,4,1
1988638361451937032,1,1,1
17567845069164370272,1,1,1
-15710566679073703902,2,2,1
-19689003591393702360,2,2,1
8160061797489370380,1,1,1
-16503819657303702972,2,2,1
18519162553656370476,1,1,1
-14303244524043702180,1,1,1
-25481770389213704847,2,2,1
-2352155622579370401,2,2,1
-22974676461723703512,2,2,1
-6535639590213704454,2,2,1
-26507623899783703986,1,1,1
-2105175969732370458,1,1,1
-22096360830813704898,2,2,1
7960953546165370431,2,2,1
-25696191825813702897,1,1,1
23735846617578370458,1,1,1
11756004912543370383,1,1,1
7658616154473370320,1,1,1
-3273106584843703281,1,1,1
-13998795026043704760,1,1,1
12923110167228370284,1,1,1
-15454560362163704925,1,1,1
12275139740193370398,2,2,1
18046923877332370401,1,1,1
-7515409435143704139,2,2,1
21962826454626370377,2,2,1
-7638661657983703401,2,2,1
27499556551269370311,1,1,1
-18723472755303703203,1,1,1
-27610464030363704475,1,1,1
846690659052037023,1,1,1
26563396855686370404,2,2,1
-13258787308503704562,2,2,1
-10749548116053702435,2,2,1
-19009707456633704421,2,2,1
19161429408492370407,2,2,1
22948020220479370431,2,2,1
11865266559246370425,2,2,1
-25582076233203703665,2,2,1
-3823525104093703923,2,2,1
25805297085882370200,2,2,1
-12430098281793703800,1,1,1
21642633031683370257,2,2,1
5310235103244370416,1,1,1
4420998107700370254,2,2,1
-23267442077463702327,2,2,1
17071177896183370320,1,1,1
25810770328575370341,1,1,1
-5476115657523702579,1,1,1
-2988388072218370275,2,2,1
14062918689915370389,2,2,1
27609522832203370485,2,2,1
7710621034332370323,1,1,1
4666939256193370251,1,1,1
3666042496827370230,2,2,1
16682019927435370371,1,1,1
6023242573215370215,2,2,1
15527414140455370374,1,1,1
-9655530370053703329,3,3,1
6664805532363370464,1,1,1
-11267028496113703899,1,1,1
-9901223031543703851,1,1,1
-20400188132103704016,2,2,1
-23978400950613702153,2,2,1
-20361053492523703749,2,2,1
3931142056860370443,1,1,1
-23463703201623702867,2,2,1
-18831150752013704037,1,1,1
-333989049435370494,3,3,1
-12438315749673703329,1,1,1
11392325256393370272,1,1,1
-18980631651903703701,1,1,1
13343847250740370317,1,1,1
-9530085485523702378,2,2,1
24429281647566370215,1,1,1
15379190870028370488,1,1,1
-21376244358843703770,1,1,1
24078890595696370398,1,1,1
25234823621910370395,1,1,1
-5276155497993704553,1,1,1
-1087088091867370350,1,1,1
4233829800192370284,1,1,1
7053694020408370368,1,1,1
9964193466693370467,2,2,1
-16143058277253702297,2,2,1
-22500339882243702675,1,1,1
2586796832008537044,2,2,1
6450112631133370350,1,1,1
-1770621037665370338,2,2,1
23975464684896370350,2,2,1
-4811837233563704502,2,2,1
27066042563406370299,3,3,1
12864835116573370317,2,2,1
-7427872702383702648,1,1,1
16257248521596370359,2,2,1
-18133324311453703248,1,1,1
6591407909667370215,2,2,1
25762532895012370494,2,2,1
11611345252899370485,1,1,1
25852329023445370383,2,2,1
24061440761589370377,1,1,1
10992507544683370317,2,2,1
15514307500776370323,2,2,1
-9232378681533703059,2,2,1
-7719916735473704553,3,3,1
3406023650268370440,2,2,1
25486357239366370341,2,2,1
14276440820385370200,1,1,1
-18364168872063702984,2,2,1
17362258939092370299,2,2,1
11782080945360370488,1,1,1
13342629647274370392,1,1,1
1141712800522537047,2,2,1
3849666418194370377,3,3,1
6426989825559370248,1,1,1
15147779909052370461,1,1,1
-27622813672953704064,2,2,1
-13213818944673704205,1,1,1
-5579448027303702321,2,2,1
-8735430161013702030,2,2,1
-9700067858373702564,2,2,1
-27137457364263704619,2,2,1
-14581952205033702366,2,2,1
12430034159316370476,2,2,1
9243188264259370260,1,1,1
-4771063262493703674,2,2,1
10694747265936370239,1,1,1
-13334893458693703275,1,1,1
13770450999927370473,2,2,1
-11253786600933702834,1,1,1
-14202405476733703359,1,1,1
-8264976226653702510,1,1,1
11680290498810370356,1,1,1
-18269197507563702366,1,1,1
-27048197611683702237,2,2,1
-26655597207993702759,2,2,1
