user_id,number_transactions_drinks,number_of_days_drinks,number_of_geo_hash_drinks
-8897775297423702615,2,2,1
11511960356214370239,2,2,1
10926896375268370395,1,1,1
10614080090766370497,2,2,1
2468317881846337026,2,2,1
8984519328930370425,2,2,1
7079640113484370491,1,1,1
6837001197105370251,2,2,1
-19979624417073702174,1,1,1
17708189196999370308,4,4,1
-7714543917723703722,2,2,1
1078229221401037035,1,1,1
79980966035823702,2,2,1
16285939762032370296,2,2,1
-23304250765323702540,1,1,1
-5506642709193703140,3,3,1
-13022168376183702609,2,2,1
-18023717800683702846,2,2,1
-15986916282753702630,2,2,1
25657895410785370224,2,2,1
-15137073440523704175,2,2,1
-6973714017423702153,2,2,1
5464890908589370362,2,2,1
2867193519072637047,1,1,1
-19918896012243704841,3,3,1
-11714265059073702444,2,2,1
-6334311298263702144,2,2,1
-21534269816193702069,2,2,1
-17885130366303704088,1,1,1
-1368056344239370266,1,1,1
-11853580601163704385,1,1,1
6914196615348370209,2,2,1
2359594348762237038,2,2,1
-20569460945043704304,2,2,1
-21642447321663703950,2,2,1
21907226344002370269,3,3,1
-18203461694433703236,1,1,1
-10579765899723703353,3,3,1
4075714916004370224,2,2,1
4302489776061370329,3,3,1
-9627697055733704682,2,2,1
-25850665161903704769,1,1,1
25448458977126370203,2,2,1
23094710859702370305,2,2,1
18093899296137370311,3,3,1
5811855799515370272,2,2,1
-22108693176693704673,1,1,1
9498495778236370317,1,1,1
17756131908264370248,2,2,1
20103154693692370431,2,2,1
27277776910740370209,2,2,1
11487687401361370287,1,1,1
-23799215986923703647,1,1,1
3404968837776370398,1,1,1
16524009687723370452,1,1,1
12122497087212370359,1,1,1
-24389808003243702012,1,1,1
-27213275541603704937,2,2,1
16463904165852370296,2,2,1
-3987129480033702546,2,2,1
9483768816966370494,2,2,1
22147412783739370485,2,2,1
15085558818738370212,2,2,1
9711304592121370278,2,2,1
-21652411594803704067,2,2,1
17407610654103370311,2,2,1
21258159165426370242,1,1,1
-14575263719283702585,2,2,1
-17585310397893702744,1,1,1
16260666800397370419,2,2,1
19407578540490370395,2,2,1
341729913390037035,1,1,1
-13035785429823703677,2,2,1
-23034055818813702543,2,2,1
-10284895002933704085,3,3,1
18085311873288370458,2,2,1
-12390182994243703656,1,1,1
17793043305186370407,1,1,1
26871017584926370470,2,2,1
21876527195901370263,1,1,1
16030192519842370395,2,2,1
-16638595007343704928,2,2,1
-26254353341643702258,1,1,1
15309365393481370314,1,1,1
24681738004200370440,3,3,1
2775529633492537041,1,1,1
-15194337010383704655,1,1,1
23214240313488370233,1,1,1
-25573912352553703788,1,1,1
2108995944115237044,2,2,1
-17962039869423703632,2,2,1
-25516170359943702291,2,2,1
-6883883763033703500,1,1,1
22891974931884370395,1,1,1
21661208557269370431,2,2,1
9342780490203370491,2,2,1
17491427417214370314,3,3,1
23259869369928370203,2,2,1
-11111488969203704589,2,2,1
1137508185414937023,2,2,1
-22831676290803703974,1,1,1
25480998136668370380,1,1,1
5102505955200370272,1,1,1
-5180668015443703488,2,2,1
-22201200056013702354,2,2,1
-3098668064403703482,2,2,1
-19630610051493702711,2,2,1
-11686099745823703590,2,2,1
14253077344302370476,2,2,1
6930297674847370302,2,2,1
6318621753918370203,1,1,1
18111965148408370362,1,1,1
-6280227399183704139,2,2,1
-10642145208423704691,2,2,1
3459267904737370335,2,2,1
5349111582096370314,1,1,1
16925323950978370338,1,1,1
-6552894762093704256,2,2,1
7614273182100370236,2,2,1
-15598531826433702636,2,2,1
5207194243722370218,3,3,1
22256550695205370263,1,1,1
21018903947802370440,2,2,1
-11549920123413703659,3,3,1
-14581952205033702366,2,2,1
17189235651582370212,4,4,1
-7594374277863704820,1,1,1
-11764741232793704835,1,1,1
1424821182186637026,2,2,1
27637092235446370326,2,2,1
10614151967355370320,2,2,1
-6389730063273703431,2,2,1
-15287472184233702897,1,1,1
19305599831088370416,1,1,1
-4977781048263704577,2,2,1
-23503180105833703356,2,2,1
26958429264156370449,2,2,1
-26603106892533704454,2,2,1
-21901608918723704511,3,3,1
7687477822968370215,3,3,1
-21343761094353702813,2,2,1
25762532895012370494,2,2,1
-26959713721503703326,1,1,1
-23386088563443704859,2,2,1
-12823315032123704808,2,2,1
10549011295926370254,2,2,1
-14938627317723702195,2,2,1
11322904346037370422,3,3,1
14036333719629370455,2,2,1
26331872370150370248,2,2,1
17966144878314370482,2,2,1
15273650980746370395,1,1,1
-26134477453053704670,1,1,1
-15943162644063703446,2,2,1
-7541865017133704886,1,1,1
-19085710445853702294,1,1,1
20616107911401370443,1,1,1
-22118823169623703971,1,1,1
-7229001667983704811,3,3,1
-8673871569843703215,1,1,1
11577400062465370224,1,1,1
-3366507464943703908,1,1,1
16522166249694370404,3,3,1
-1965453674955370458,1,1,1
-21941457051213704421,3,3,1
-2504733014349370344,2,1,1
-20913519111003704109,1,1,1
-1564731864207370377,3,3,1
6008697886017370494,2,2,1
27645985202532370239,1,1,1
-4634639059143702573,2,2,1
-9657035200773703638,1,1,1
7472980659111370449,2,2,1
12357771203178370275,3,3,1
-17318893573803704604,1,1,1
-9396026488923704733,3,3,1
7305137274366370458,2,2,1
-23768337162963703977,3,3,1
18298662503862370356,1,1,1
12925874074902370203,4,4,1
14306187812898370371,2,2,1
19773102527253370449,3,3,1
16761583917660370443,2,2,1
-6682521050883704844,2,2,1
15037715401257370407,2,2,1
-4015187223393704454,2,2,1
8292856375497370443,2,2,1
9196494891663370485,2,2,1
14986135630377370413,1,1,1
27617749415667370467,2,2,1
16020815926038370482,3,3,1
23164466304969370206,2,2,1
22649557865016370290,3,3,1
16297993489569370341,2,2,1
-6256500206223702549,2,2,1
15995234939904370488,1,1,1
5359179557991370416,2,2,1
6817712502522370245,2,2,1
19295809821819370290,1,1,1
20882365872153370425,2,2,1
17259921782184370407,1,1,1
18390086352264370437,2,2,1
-14014948866933702387,1,1,1
-21494591375793704970,2,2,1
6479164704351370317,2,2,1
-15330882605313704700,1,1,1
13825407824784370221,2,2,1
23950928275824370425,2,2,1
19174493651841370419,2,2,1
2784681572846137038,2,2,1
-6695963055693703500,3,3,1
-16715702210163702867,2,2,1
-17421006444663702627,2,2,1
-12639518842113704922,1,1,1
-7189924402563704103,1,1,1
2650034035351537047,2,2,1
-23272236846843703050,1,1,1
7646644866147370413,2,2,1
-19432115957403704436,1,1,1
27342430416351370467,1,1,1
-10263659944803702795,1,1,1
-13376425999743702135,2,2,1
-11915531720253704556,1,1,1
27428378261568370437,3,3,1
27387665601102370386,2,2,1
-21484430985123704634,2,2,1
19172155313652370389,3,3,1
-10029170778813702705,2,2,1
1372126016008537026,2,2,1
-2689131536391370281,2,2,1
3090949659528370293,1,1,1
26734687928058370302,2,2,1
-13855071438513704139,2,2,1
3532333419654370476,1,1,1
23139354742752370473,1,1,1
25062911538669370323,1,1,1
-1701720615321370419,2,2,1
249763264758303702,2,2,1
20729159408403370410,2,2,1
20405820715704370263,2,2,1
12252215375040370413,2,2,1
3755542624383370215,1,1,1
-21242263327113703662,1,1,1
7754560780086370365,1,1,1
4293082629801370353,2,2,1
4076708508138370326,3,3,1
4437735236136370353,2,2,1
-21728933946183703161,2,2,1
-14382578606973702402,1,1,1
7452967003254370452,2,2,1
-13083176955873702093,1,1,1
17747476660911370299,2,2,1
-27146554936563702930,2,2,1
25689452439225370269,1,1,1
-2406318662085370428,3,3,1
-16310522959863703842,2,2,1
-14036349188193702216,2,2,1
-15565795249923702294,2,2,1
-21828758550273702429,2,2,1
-16876358079783704916,3,3,1
16030029288705370308,1,1,1
-15019730004453703875,1,1,1
-23853529238493704052,1,1,1
-7269015684303703758,2,2,1
27533694589716370485,1,1,1
24016836767688370293,2,2,1
-23660312535213702870,2,2,1
-6681729996573703842,1,1,1
-11306786035323703959,2,2,1
1745738480849737032,2,2,1
-23931984818223702504,2,2,1
22672722987381370206,2,2,1
-8008546292583702342,1,1,1
22643853151047370395,3,3,1
-5654243426313703002,2,2,1
18132824911653370353,2,2,1
3175047349125370263,1,1,1
16807761811014370461,1,1,1
5539383071976370236,1,1,1
-26944685506473702384,1,1,1
-8561040742773703281,1,1,1
26460926616330370416,1,1,1
19336407418821370242,1,1,1
5866843739100370473,1,1,1
-1061928087408370266,2,2,1
-24545442906933704775,3,3,1
-1663987676868370299,2,2,1
-14995946405073704373,2,2,1
-985927662312370482,1,1,1
13724922486180370383,2,2,1
15807448496184370446,2,2,1
-6207271202313704769,2,2,1
27348893488551370341,2,2,1
23465871092379370485,3,3,1
21461099759433370395,2,2,1
-24042190922313704937,1,1,1
-27067545783573702486,2,2,1
5094320610651370416,3,3,1
18516333906354370434,2,2,1
-17084922763293702864,2,2,1
14229243595227370401,1,1,1
-12547778689623703476,2,2,1
21790551983751370473,2,2,1
-2542695786681370371,2,2,1
19586009884110370488,2,2,1
3794671521948370218,2,2,1
224720396366913702,2,2,1
22707970406397370200,2,2,1
10630862687421370485,2,2,1
130332194050263702,2,2,1
-22354648894233704796,1,1,1
3406023650268370440,2,2,1
17934865874949370218,4,4,1
-24319845027483703758,1,1,1
16068586852188370314,2,2,1
9358454201151370257,2,2,1
21420134249619370338,1,1,1
-26128329461193703377,2,2,1
8939988797658370200,1,1,1
1646333972314237020,1,1,1
25518249583998370368,1,1,1
-10678082565363702606,2,2,1
18550908325128370224,2,2,1
-2166821785734370470,2,2,1
-17838212301183702792,2,2,1
17053381605750370215,1,1,1
13311063026463370491,3,3,1
-11219590648743704376,3,3,1
-7222240675923702852,2,2,1
-2835640002819370233,1,1,1
-11006160992763703776,2,2,1
-18894903096123702660,1,1,1
-18785717737653703395,1,1,1
-18315893197893704925,1,1,1
5088128821692370404,1,1,1
-7872937515033704496,1,1,1
-14797780691073702210,2,2,1
5994924560799370212,2,2,1
-11075610101223703626,2,2,1
-14480239711953702225,1,1,1
-21716648090883703833,2,2,1
2640474108814537041,2,2,1
5482424787747370398,2,2,1
24797404034478370239,2,2,1
23321681337972370203,2,2,1
25761228271947370389,2,2,1
3867930578676370458,1,1,1
5980892993817370227,2,2,1
21754663446495370467,2,2,1
-18814216754583703350,2,2,1
-10945449952113704967,3,3,1
-25699524234783703962,3,3,1
2743133496998437047,2,2,1
12408360386172370290,2,2,1
4341871574367370443,1,1,1
7887768118569370479,2,2,1
-15275642460483704661,2,2,1
12343286113473370485,1,1,1
21906718161966370281,2,2,1
-15065271252723702186,2,2,1
13469747421903370434,2,2,1
-25184515011603704148,1,1,1
3029364876984370329,2,2,1
26850152879724370224,2,2,1
-298104531594937023,1,1,1
-12996895062573703302,1,1,1
-6927655238913704349,1,1,1
15150613284231370368,1,1,1
5235242789172370497,2,2,1
-27323516548353703032,1,1,1
-21939277720533702687,2,2,1
17038577528628370407,2,2,1
22713301209402370344,2,2,1
19231240554324370353,2,2,1
-26845814825283702747,1,1,1
17733667891923370212,1,1,1
11392325256393370272,1,1,1
-272918367584737023,2,2,1
-22773366756393704532,2,2,1
-18203818367853704631,1,1,1
-5723297346093703485,1,1,1
-15218936970813702261,3,3,1
-27555587576163703587,2,2,1
17062021023723370404,2,2,1
-25287929544393703368,2,2,1
-315349430208370356,2,2,1
21504007901616370467,2,2,1
18373117970880370464,2,2,1
13323362441070370224,2,2,1
9185524748277370302,1,1,1
24690572638833370308,2,2,1
-9392676380373704238,1,1,1
7897117580736370353,2,2,1
5492620486632370383,2,2,1
-6508919797803703581,2,2,1
-16077597098283703803,2,2,1
-16237277300583703362,2,2,1
-7458086969313703443,1,1,1
12430034159316370476,2,2,1
4075567322844370479,3,3,1
-15962782609623703899,3,3,1
16798453494804370278,2,2,1
-15734273817933703965,2,2,1
-11801456181303704508,2,2,1
-3194338481733703281,2,2,1
-5725791575973703809,2,2,1
-24138483995433702453,1,1,1
-9049701357153702552,2,2,1
17364703825959370278,1,1,1
-21816551275833704154,1,1,1
-1077780262656370347,2,2,1
1603683255982537041,1,1,1
-14827169914263702228,2,2,1
-4374699582183703260,2,2,1
3822205087635370341,3,3,1
14848938490308370242,2,2,1
-15292855940493703944,1,1,1
-19675386457053702291,1,1,1
18209449368579370491,2,2,1
22822325152797370461,1,1,1
7250013658635370260,1,1,1
9750747129774370260,1,1,1
-3122253421413703878,2,2,1
6756120871632370452,1,1,1
-22409781557943704319,2,2,1
-9626550941853704640,2,2,1
-5840560152993703020,2,2,1
15299139753465370356,1,1,1
-20643840643653703431,2,2,1
-322915147215370254,2,2,1
-10749548116053702435,3,3,1
3980322844455370401,1,1,1
-12785604757263702759,2,2,1
-3550919558763702753,1,1,1
27458774891175370203,2,2,1
-20822692470093704157,3,3,1
-16305985878273702060,2,2,1
-4401463088013703848,2,2,1
-27131918119743703494,2,2,1
-8756989914573703569,1,1,1
-4867053775143702564,1,1,1
14474182195956370440,1,1,1
-13296573924033704805,2,2,1
-19017711537963703230,2,2,1
-11251373580543704016,2,2,1
22482263700663370281,2,2,1
-11422664119053702720,2,2,1
-14465109378153704922,3,3,1
-22312436018733704010,1,1,1
-9315608809563703149,1,1,1
-7379825792463704190,2,2,1
-23552370701013702732,1,1,1
27362818985316370413,2,2,1
11943886165002370272,2,2,1
-21563606580213704154,2,2,1
19536753764514370227,1,1,1
26839648285659370431,2,2,1
-13913409065853704745,2,2,1
4836226158330370242,1,1,1
3166493252586370227,2,2,1
22731784773087370464,2,2,1
1633797436326337029,2,2,1
22303442189394370332,2,2,1
2405945769356437047,2,2,1
-10595681644533704061,2,2,1
-2651585480985370479,1,1,1
-11310679677003703602,1,1,1
7513567161435370221,2,2,1
26162409202959370353,1,1,1
-15728702399433702318,1,1,1
13466524421397370404,2,2,1
-16279193902683703752,1,1,1
21060319537791370203,1,1,1
-369064650411370401,1,1,1
12120912069885370479,1,1,1
-11786984215173703029,1,1,1
-19858629637653702810,1,1,1
-8362740814983703980,2,2,1
24762886872132370425,2,2,1
12501356444190370347,2,2,1
-7639504642353704163,2,2,1
-13189226123523703017,2,2,1
22368409698420370323,2,2,1
-3715841268693704910,2,2,1
10712071393149370284,1,1,1
6893179718577370314,2,2,1
-6062466513633704673,2,2,1
9448958348688370344,2,2,1
7377038166390370233,2,2,1
23387418867429370251,2,2,1
-17956034038983703899,2,2,1
-18936164344743702324,2,2,1
18094734409374370311,1,1,1
7868725440864370299,2,2,1
17541342812370370431,2,2,1
22568813592258370242,1,1,1
-13634600734263703116,2,2,1
23015563627023370248,2,2,1
4827118722456370467,1,1,1
19883841553356370365,1,1,1
-14250071537703703434,2,2,1
14208449590575370317,2,2,1
-4106316991623703611,2,2,1
27604930208517370341,2,2,1
-2122712615304370368,1,1,1
-5393953699743703791,1,1,1
10428364028193370257,1,1,1
18935674936425370404,2,2,1
-5321215730763703683,2,2,1
-8331896626593703920,1,1,1
24575189688681370419,3,3,1
-27608196025173704676,1,1,1
23393838126075370407,1,1,1
-23027176415253704841,1,1,1
1869569451795037023,1,1,1
-13232341203783702816,1,1,1
-13253947291473702552,2,2,1
20242458094806370380,1,1,1
19778275373997370344,1,1,1
-21930251422023704097,4,4,1
-13659243276273703122,2,2,1
-26015615466633704622,2,2,1
-2939117704935370368,1,1,1
-9111263471403703203,1,1,1
9317743535001370311,1,1,1
23332940773239370449,1,1,1
-23101341391053704061,2,2,1
349930107209137032,2,2,1
-15997701557883704247,1,1,1
11296527419592370245,2,2,1
-20856346159263704922,1,1,1
2301003568842937026,3,3,1
178761454876443702,2,2,1
-25629434508603703635,2,2,1
-20014260944013704676,1,1,1
-10724481702303702282,2,2,1
-9420577463403702144,2,2,1
9468208547712370320,1,1,1
-5889063088653703191,1,1,1
15554095776987370314,1,1,1
1220802216178237041,2,2,1
11856031588149370215,1,1,1
-15592973873283703536,2,2,1
-460216000791370377,2,2,1
-12304131168003703857,2,2,1
-18965670676743704037,2,2,1
-21961029619173704163,2,2,1
-9066617046993704793,1,1,1
-738451954737370308,2,2,1
5396716990563370467,2,2,1
11142216250869370266,2,2,1
26910814375419370224,2,2,1
528541996207237020,1,1,1
-8409137905953702897,1,1,1
18057182431521370218,1,1,1
14808879509082370221,1,1,1
-9001722726633704208,1,1,1
13125088434921370443,1,1,1
-8572012707453703668,1,1,1
-21593994399213702900,1,1,1
-25691843199093704946,1,1,1
4958032859256370485,2,2,1
-20836831607403703821,1,1,1
5543903650857370308,1,1,1
2529597464799637038,1,1,1
8120101922244370407,1,1,1
6593209082562370212,1,1,1
-16253000314713703989,3,3,1
8681472358692370224,2,2,1
-15110749940223703035,1,1,1
-18133324311453703248,1,1,1
27471879582345370212,2,2,1
-17560261650303702228,2,2,1
9915014116443370323,2,2,1
20247381061326370224,2,2,1
-8273967719673704958,1,1,1
27328352857071370395,2,2,1
-9943572584403703743,2,2,1
-24050997561183703938,2,2,1
14574507962061370284,2,2,1
3788176103697370425,1,1,1
15381364128138370410,1,1,1
2428374725641837020,1,1,1
-19479141622533703344,2,2,1
26992474250301370452,2,2,1
13658484901659370215,2,2,1
-7960041349533702237,2,2,1
-27168189729993703485,2,2,1
6595781041110370230,1,1,1
14046047476545370338,1,1,1
-21883847323863704637,1,1,1
-4197776770083704283,2,2,1
-17211359106543704559,1,1,1
2370979905854737044,2,2,1
-18371761153323704316,2,2,1
-26511161053833704037,2,2,1
-5517941611803702972,1,1,1
24649544194650370296,2,2,1
6343215232068370434,1,1,1
-6249321509973703425,2,2,1
10933168967331370269,2,2,1
8709397730739370338,2,2,1
-16135239703803702459,2,2,1
-3985612608453704016,2,2,1
2380878661486837026,3,3,1
-9085964047083702816,2,2,1
-5591536742793704793,3,3,1
26758973155968370473,2,2,1
-9949610366433702249,1,1,1
-19368828782283702867,1,1,1
-2725664251098370404,2,2,1
15177154117920370296,1,1,1
5567189400177370452,2,2,1
-18523314568053704448,1,1,1
-12230227175313702021,2,2,1
-26179005732393702480,2,2,1
7595849856558370257,2,2,1
3849666418194370377,3,3,1
8009193710568370395,3,3,1
23572120426632370206,3,3,1
21622012884483370200,3,3,1
-27225839649963702426,2,2,1
-19437992253123704580,1,1,1
-25769577510783702276,2,2,1
-19663015883253704295,1,1,1
16175936635389370380,1,1,1
2713159898919037038,3,3,1
25259312759706370377,3,3,1
-26064080903523702795,1,1,1
16638423161916370341,2,2,1
11132389897290370335,3,3,1
15134599280355370353,1,1,1
-18242681635683702288,1,1,1
-13570162502523704187,2,2,1
14461326816075370443,1,1,1
-25636663712193702489,1,1,1
-8633519053293703083,3,3,1
18896432687193370332,1,1,1
1592959091397037035,1,1,1
27141545469984370449,2,2,1
-11517165672033702660,1,1,1
-23640570248823702822,1,1,1
-20479043421273703425,3,3,1
1358607306708637041,1,1,1
-6282163020033704175,1,1,1
-8416094216673702753,1,1,1
2132601171170437029,1,1,1
4486195040892370323,2,2,1
-17511417668103703488,1,1,1
3165604621272370341,2,2,1
-5950909750263703353,1,1,1
24429281647566370215,1,1,1
4370522967813370326,2,2,1
4487322882693370419,2,2,1
-4860938920593703692,1,1,1
-17469545486013702513,2,2,1
18107347071660370227,1,1,1
-25779373988433703746,2,2,1
9697296267282370218,1,1,1
27626678523459370455,2,2,1
-11426802594843704481,2,2,1
-23979677494773703602,2,2,1
-3538193544543704703,2,2,1
24030912462627370338,3,3,1
-21233033507703703038,2,2,1
27520940290137370296,2,2,1
17211106431120370230,2,2,1
22274592638955370230,1,1,1
-414183099075370248,1,1,1
-9906361101483704640,2,2,1
21319006001487370419,2,2,1
19422590146242370251,2,2,1
-13104362078103704781,2,2,1
-1953453214692370314,1,1,1
-9765111365583702468,1,1,1
-4287108370023703089,1,1,1
20533652905569370398,2,2,1
-3339420033753703926,1,1,1
-24455906688843702948,2,2,1
20043307744962370311,1,1,1
-16881894528843704394,1,1,1
-25741509231423704268,1,1,1
21932605864392370284,1,1,1
3866306575197370230,1,1,1
-5738193168843702303,2,2,1
43602158576463702,2,2,1
20703652029342370494,2,2,1
-21277400661513704616,2,2,1
-8268156971823703470,1,1,1
-25892794905543704838,2,2,1
-11101717741113704304,1,1,1
24101681613231370404,2,2,1
8339475684954370392,1,1,1
-19684754824293702711,1,1,1
3175614465240370425,2,2,1
-7978764779463703191,2,2,1
25689462767052370329,1,1,1
5828617154028370449,1,1,1
1701780141549937032,1,1,1
21966594299235370245,2,2,1
-4273967216043702846,2,2,1
-14172143972673704904,1,1,1
-2498315770089370299,1,1,1
-5379905589243703923,3,3,1
-26880950538573702837,1,1,1
-13278293013573702732,2,2,1
-13388354154333704319,2,2,1
-5488304244573704949,1,1,1
-12244232476053702750,2,2,1
9384646112931370443,2,2,1
-10493266850013704250,1,1,1
-25694969854383703002,1,1,1
26006547073824370248,1,1,1
4826697122835370314,1,1,1
-13049825245053704553,1,1,1
2777197903547437029,1,1,1
3428357726850370440,2,2,1
18046923877332370401,1,1,1
-18533637270033702624,2,2,1
-341597356182370413,1,1,1
-10279136839773703464,2,2,1
8235820184148370473,1,1,1
-18596331678303704406,1,1,1
-21005235220323704943,2,2,1
-26465647393743704982,2,2,1
-26909334109503702954,1,1,1
-15298137727533704622,2,2,1
-20770404987363704421,3,3,1
11691305709309370362,3,3,1
-25946650326063704424,2,2,1
-20497231214583702789,2,2,1
23612456229813370431,2,2,1
27275129850069370470,2,2,1
25486357239366370341,2,2,1
422998351328737038,3,3,1
7892840523255370209,2,2,1
-20766113545533702645,2,2,1
16489338689127370386,3,3,1
-24789184711983702822,2,2,1
-21995212842513704982,3,3,1
11571587891241370407,2,2,1
-25101452922033703587,1,1,1
-17179632561063704079,2,2,1
-25507264865823702411,1,1,1
1934502521268637029,1,1,1
-2577983725764370284,2,2,1
-15147673622883703842,1,1,1
-23548064316003703170,3,3,1
-1507893362547370332,2,2,1
22779338195133370344,1,1,1
-21559599252663703665,1,1,1
8232318781998370434,1,1,1
15274463896269370485,1,1,1
-8987834841003703860,1,1,1
25683484786980370323,1,1,1
20819658770886370206,1,1,1
11793243682764370425,2,2,1
25254258400038370311,4,4,1
6073318077996370314,1,1,1
-11463291743733702057,2,2,1
-14809612662903702603,1,1,1
-268074328385437020,2,2,1
-22910945514993703449,2,2,1
-17188402226733704799,2,2,1
